Sample,Vrt,Rt,F,8.8
233,1.649090,11.155482,72.516263,0x4884
234,1.652766,11.191528,72.386498,0x4862
235,1.656442,11.227646,72.256473,0x4841
236,1.660118,11.263837,72.126188,0x4820
237,1.663795,11.300100,71.995641,0x47FE
238,1.667471,11.336435,71.864833,0x47DD
239,1.671147,11.372844,71.733761,0x47BB
240,1.674823,11.409326,71.602426,0x479A
241,1.678500,11.445882,71.473359,0x4779
242,1.682176,11.482511,71.344080,0x4758
243,1.685852,11.519214,71.214540,0x4736
244,1.689528,11.555991,71.084738,0x4715
245,1.693205,11.592842,70.954674,0x46F4
246,1.696881,11.629769,70.824346,0x46D3
247,1.700557,11.666769,70.693755,0x46B1
248,1.704233,11.703845,70.562899,0x4690
249,1.707910,11.740997,70.431777,0x466E
250,1.711586,11.778223,70.300388,0x464C
251,1.715262,11.815526,70.168733,0x462B
252,1.718938,11.852904,70.036809,0x4609
253,1.722615,11.890359,69.904617,0x45E7
254,1.726291,11.927890,69.774180,0x45C6
255,1.729967,11.965497,69.651100,0x45A6
256,1.733643,12.003182,69.527769,0x4587
257,1.737320,12.040943,69.404186,0x4567
258,1.740996,12.078782,69.280349,0x4547
259,1.744672,12.116699,69.156258,0x4528
260,1.748348,12.154693,69.031913,0x4508
261,1.752025,12.192766,68.907312,0x44E8
262,1.755701,12.230917,68.782455,0x44C8
263,1.759377,12.269146,68.657341,0x44A8
264,1.763053,12.307454,68.531969,0x4488
265,1.766730,12.345841,68.406338,0x4468
266,1.770406,12.384308,68.280447,0x4447
267,1.774082,12.422854,68.154297,0x4427
268,1.777758,12.461480,68.027885,0x4407
269,1.781435,12.500185,67.904677,0x43E7
270,1.785111,12.538972,67.782195,0x43C8
271,1.788787,12.577838,67.659458,0x43A8
272,1.792463,12.616786,67.536466,0x4389
273,1.796140,12.655814,67.413218,0x4369
274,1.799816,12.694924,67.289714,0x434A
275,1.803492,12.734115,67.165952,0x432A
276,1.807168,12.773388,67.041931,0x430A
277,1.810845,12.812744,66.917652,0x42EA
278,1.814521,12.852181,66.793113,0x42CB
279,1.818197,12.891701,66.668313,0x42AB
280,1.821873,12.931304,66.543251,0x428B
281,1.825550,12.970990,66.417927,0x426A
282,1.829226,13.010759,66.292340,0x424A
283,1.832902,13.050612,66.167624,0x422A
284,1.836579,13.090549,66.045783,0x420B
285,1.840255,13.130570,65.923685,0x41EC
286,1.843931,13.170675,65.801330,0x41CD
287,1.847607,13.210865,65.678717,0x41AD
288,1.851284,13.251140,65.555844,0x418E
289,1.854960,13.291500,65.432711,0x416E
290,1.858636,13.331946,65.309318,0x414F
291,1.862312,13.372477,65.185662,0x412F
292,1.865989,13.413095,65.061745,0x410F
293,1.869665,13.453799,64.937564,0x40F0
294,1.873341,13.494589,64.813119,0x40D0
295,1.877017,13.535466,64.688409,0x40B0
296,1.880694,13.576430,64.563433,0x4090
297,1.884370,13.617482,64.438190,0x4070
298,1.888046,13.658622,64.318224,0x4051
299,1.891722,13.699849,64.200432,0x4033
300,1.895399,13.741165,64.082387,0x4015
301,1.899075,13.782569,63.964089,0x3FF6
302,1.902751,13.824062,63.845538,0x3FD8
303,1.906427,13.865644,63.726732,0x3FBA
304,1.910104,13.907315,63.607670,0x3F9B
305,1.913780,13.949077,63.488352,0x3F7D
306,1.917456,13.990928,63.368778,0x3F5E
307,1.921132,14.032869,63.248945,0x3F3F
308,1.924809,14.074901,63.128853,0x3F20
309,1.928485,14.117024,63.008502,0x3F02
310,1.932161,14.159238,62.887891,0x3EE3
311,1.935837,14.201544,62.767018,0x3EC4
312,1.939514,14.243941,62.645883,0x3EA5
313,1.943190,14.286430,62.528994,0x3E87
314,1.946866,14.329012,62.414595,0x3E6A
315,1.950542,14.371686,62.299948,0x3E4C
316,1.954219,14.414453,62.185051,0x3E2F
317,1.957895,14.457314,62.069904,0x3E11
318,1.961571,14.500268,61.954505,0x3DF4
319,1.965247,14.543315,61.838854,0x3DD6
320,1.968924,14.586457,61.722950,0x3DB9
321,1.972600,14.629694,61.606793,0x3D9B
322,1.976276,14.673025,61.490380,0x3D7D
323,1.979952,14.716452,61.373712,0x3D5F
324,1.983629,14.759973,61.256788,0x3D41
325,1.987305,14.803591,61.139607,0x3D23
326,1.990981,14.847304,61.022167,0x3D05
327,1.994657,14.891114,60.904469,0x3CE7
328,1.998334,14.935021,60.786902,0x3CC9
329,2.002010,14.979025,60.672110,0x3CAC
330,2.005686,15.023126,60.557064,0x3C8E
331,2.009362,15.067324,60.441763,0x3C71
332,2.013039,15.111621,60.326207,0x3C53
333,2.016715,15.156016,60.210394,0x3C35
334,2.020391,15.200509,60.094324,0x3C18
335,2.024067,15.245102,59.977996,0x3BFA
336,2.027744,15.289793,59.861409,0x3BDC
337,2.031420,15.334585,59.744562,0x3BBE
338,2.035096,15.379476,59.627454,0x3BA0
339,2.038772,15.424467,59.510085,0x3B82
340,2.042449,15.469560,59.392453,0x3B64
341,2.046125,15.514753,59.274558,0x3B46
342,2.049801,15.560047,59.156398,0x3B28
343,2.053477,15.605443,59.037974,0x3B09
344,2.057154,15.650941,58.923706,0x3AEC
345,2.060830,15.696542,58.811267,0x3ACF
346,2.064506,15.742245,58.698574,0x3AB2
347,2.068182,15.788051,58.585627,0x3A95
348,2.071859,15.833961,58.472426,0x3A78
349,2.075535,15.879974,58.358969,0x3A5B
350,2.079211,15.926091,58.245255,0x3A3E
351,2.082887,15.972313,58.131284,0x3A21
352,2.086564,16.018639,58.017054,0x3A04
353,2.090240,16.065071,57.902565,0x39E7
354,2.093916,16.111608,57.787816,0x39C9
355,2.097592,16.158251,57.672806,0x39AC
356,2.101269,16.205000,57.557534,0x398E
357,2.104945,16.251856,57.441999,0x3971
358,2.108621,16.298818,57.326201,0x3953
359,2.112297,16.345888,57.210138,0x3935
360,2.115974,16.393066,57.099326,0x3919
361,2.119650,16.440352,56.988788,0x38FD
362,2.123326,16.487746,56.877996,0x38E0
363,2.127002,16.535249,56.766950,0x38C4
364,2.130679,16.582861,56.655649,0x38A7
365,2.134355,16.630583,56.544092,0x388B
366,2.138031,16.678414,56.432278,0x386E
367,2.141707,16.726356,56.320206,0x3851
368,2.145384,16.774409,56.207876,0x3835
369,2.149060,16.822572,56.095285,0x3818
370,2.152736,16.870848,55.982434,0x37FB
371,2.156412,16.919234,55.869322,0x37DE
372,2.160089,16.967734,55.755947,0x37C1
373,2.163765,17.016345,55.642309,0x37A4
